IT	2016-03-28	Lunedì dell'Angelo
IT	2016-04-25	Festa della Liberazione
IT	2016-08-15	Assunzione di Maria Vergine
MU	2016-11-02	Arrival of Indentured Labourers
MU	2016-07-06	Eid-ul-Fitr
MU	2016-01-01	New Year's Day
MU	2016-01-02	Day after New Year's Day
MU	2016-12-25	Christmas Day
MU	2016-05-01	Labour Day
MU	2016-11-01	All Saints Day
MU	2016-10-29	Diwali
MU	2016-02-08	Chinese Spring Festival
MU	2016-01-24	Thaipoosam Cavadee
MU	2016-02-01	Abolition of Slavery
MU	2016-03-07	Maha Shivaratree
MU	2016-09-05	Ganesh Chaturthi
MU	2016-04-08	Ugadi
MU	2016-03-12	Independence and Republic Day
SC	2016-12-05	Presidential Election
SC	2016-01-01	New Year
SC	2016-06-18	Constitution Day
SC	2016-12-25	Christmas Day
SC	2016-06-05	Liberation Day
SC	2016-05-16	Corpus Christi
SC	2016-03-27	Easter Day
SC	2016-12-08	Immaculate Conception
SC	2016-06-29	National Day
SC	2016-03-25	Good Friday
SC	2016-05-01	Labour Day
SC	2016-11-01	All Saints' Eve
SC	2016-08-15	Assumption of Mary
SG	2016-07-06	Hari Raya Puasa
SG	2016-01-01	New Year's Day
SG	2016-09-12	Hari Raya Haji
SG	2016-05-01	Labour Day
SG	2016-12-25	Christmas Day
SG	2016-08-09	National Day
SG	2016-02-09	Second day of Chinese New Year
SG	2016-02-08	Chinese New Year
SG	2016-03-25	Good Friday
SG	2016-05-21	Vesak Day
SG	2016-10-29	Deepavali
