BOS,BOS
CHI,RFD
DFW,DFW
FLL,FLL
HOU,IAH
LAX,LAX
NYC,JFK
ORL,MCO
SEA,SEA
SFO,SFO
WAS,BWI
ABJ,ABJ
ACC
ADD
ADL
AMD
AMM
BAH
BEY
BGW
BJS,PEK
BKK
BLR
BNE
BOM
BSR
CAI
CAN
CCJ
CCU
CEB
CHC
CMB
COK
CPT
CRK
DAC
DAR
DEL
DKR
DMM
DOH
DPS
DUR
DXB
EBB
HAN
HKG
HKT
HRE
HYD
ISB
IST
JED
JKT,CGK
JNB
KBL
KHI
KRT
KUL
KWI
LAD
LHE
LOS
LUN
MAA
MCT
MED
MEL
MHD
MIL
MLE
MNL
MRU
MUX
NBO
PER
PEW
RGN
RUH
SEZ
SGN
SHA
SIN
SKT
SYD
THR
TRV
