CountryName,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,
Bulgaria,-17.78,,6.35,,20.54,,0.41,,-19.24,,6.27,,21.18,,0.55,,-18.43,,7.00,,20.79,,0.58,,-18.92,,6.68,,19.15,,3.08,,-19.89,,9.00,,19.71,,1.45,,-18.34,,9.19,,17.00,,2.66,,-19.95,,11.40,,16.82,,3.29,,-19.77,,13.29,,13.15,,4.35,,-20.01,,12.72,,13.18,,1.07,,-25.13,,13.18,,12.60,,-1.99,,-23.65,,19.93,,12.13,,-0.37,,-23.84,,20.96,,9.90,,-0.50,,-23.97,,20.31,,10.64,,-1.46,,-23.44,,19.60,,12.36,,0.24,,-24.71,,20.93,,11.45,,2.09,,-24.50,,20.06,,12.20,,1.88,,-24.52,,19.98,,11.85,,2.21,,-24.28,,,
Cambodia,,,,,,,,,,,,,,,,,,,-4.24,,3.19,,8.44,,1.46,,-4.07,,1.97,,10.49,,2.66,,-4.42,,5.07,,3.18,,6.48,,-3.00,,7.97,,3.56,,3.51,,-2.12,,4.29,,2.63,,3.69,,-0.82,,2.40,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,-4.85,,2.18,,6.21,,2.38,,-8.15,,1.23,,5.17,,1.40,,-7.91,,2.33,,7.12,,3.16,,-8.14,,-2.04,,12.02,,3.87,,-5.32,,1.79,,6.81,,5.10,,-6.90,,2.67,,7.84,,4.23,,-5.55,,-0.06,,8.13,,4.60,,-6.34,,0.22,,8.68,,4.90,,-6.32,,-2.61,,5.48,,1.13,,-11.21,,2.34,,6.98,,5.41,,-6.48,,0.87,,7.13,,5.23,,-5.37,,-1.48,,5.92,,4.26,,-7.34,,-1.31,,6.75,,5.61,,-7.03,,-1.66,,6.75,,5.38,,-6.93,,-2.38,,7.82,,4.77,,-7.18,,-1.67,,6.97,,4.39,,-7.98,,-0.93,,7.21,,5.59,,-7.03,,-1.37,
China,,,11.36,,5.18,,28.69,,-28.02,,11.17,,4.58,,27.41,,-26.48,,10.19,,5.53,,29.24,,-26.27,,8.20,,7.92,,28.58,,-26.47,,8.22,,7.81,,27.50,,-25.72,,9.56,,6.49,,26.49,,-23.36,,8.70,,6.36,,26.67,,-22.16,,10.69,,5.47,,25.69,,-24.15,,10.60,,4.11,,24.08,,-25.46,,12.91,,5.80,,25.01,,-24.86,,14.37,,5.89,,12.66,,-19.23,,14.06,,5.41,,11.94,,-19.76,,13.56,,5.33,,12.56,,-19.95,,13.23,,5.73,,12.33,,-20.19,,13.33,,5.41,,12.45,,-20.37,,13.34,,5.28,,12.35,,-20.40,,13.24,,5.48,,12.44,,,,,
Colombia,,,0.14,,0.75,,0.00,,0.50,,0.09,,0.97,,0.82,,-1.05,,3.34,,-0.20,,0.13,,0.77,,1.77,,1.22,,1.34,,1.83,,-0.05,,1.17,,3.23,,-0.42,,2.02,,0.52,,1.26,,1.80,,2.04,,2.35,,1.24,,1.76,,0.81,,2.14,,2.71,,-0.48,,1.08,,0.25,,-0.87,,0.50,,0.88,,0.62,,0.96,,1.57,,1.51,,-0.50,,2.15,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,-0.84,,-4.52,,1.82,,7.63,,-1.30,,-4.20,,1.83,,7.46,,-3.14,,-0.91,,0.13,,7.55,,-0.72,,-3.58,,0.89,,7.79,,-0.45,,-2.93,,-0.01,,7.41,,-1.94,,-0.90,,0.23,,7.09,,0.07,,-1.30,,1.52,,8.72,,-0.03,,-1.11,,1.23,,5.98,,0.87,,-1.48,,-1.07,,2.76,,-2.56,,-1.90,,1.05,,5.68,,0.44,,-1.68,,0.80,,4.49,,0.20,,-0.55,,-0.02,,4.80,,1.71,,-2.25,,0.72,,3.97,,-0.56,,-1.39,,0.46,,3.74,,0.89,,-1.96,,0.90,,3.95,,-0.31,,-0.65,,1.21,,3.45,,0.95,,-0.67,,0.29,,3.42,,0.66,,,
Croatia,7.58,,6.94,,6.67,,-5.61,,-4.55,,8.69,,5.78,,-6.25,,-3.08,,7.94,,8.93,,-7.19,,-2.60,,8.47,,6.89,,-7.51,,-2.48,,8.32,,6.13,,-7.50,,-4.01,,11.26,,6.05,,-7.46,,-2.64,,8.55,,6.99,,-7.45,,-0.59,,7.79,,5.20,,-8.19,,-0.70,,7.34,,3.56,,-8.84,,-9.82,,7.80,,4.16,,-6.12,,-7.73,,7.28,,7.21,,-6.35,,-8.29,,8.82,,7.46,,-7.41,,-8.80,,7.00,,8.42,,-7.82,,-8.26,,8.34,,8.39,,-8.17,,-8.18,,8.47,,9.06,,-7.85,,-7.24,,9.31,,10.51,,-8.47,,-7.10,,9.32,,10.86,,-8.15,,-7.92,,,
Cyprus,-2.73,,7.75,,1.13,,-1.72,,-3.40,,6.87,,3.10,,-2.58,,-3.66,,8.26,,-0.04,,-0.35,,-4.59,,6.09,,1.84,,0.39,,-3.68,,6.12,,1.61,,1.12,,-4.15,,4.63,,2.19,,1.26,,-3.61,,5.35,,1.22,,1.70,,-3.76,,5.15,,2.25,,1.89,,-3.58,,3.86,,2.13,,-0.79,,-5.81,,3.58,,0.37,,-0.06,,-3.00,,3.83,,1.17,,-0.26,,-3.74,,4.60,,-0.80,,-0.66,,-4.32,,2.75,,-0.31,,-3.53,,-5.51,,2.35,,1.38,,-2.86,,-3.55,,4.12,,1.32,,-2.81,,-2.47,,6.14,,1.43,,-2.21,,-2.58,,6.44,,1.48,,-2.12,,-2.03,,6.45,
Czech Republic,-8.05,,7.73,,2.31,,2.67,,-8.15,,6.89,,1.37,,2.99,,-9.30,,6.88,,2.66,,2.15,,-8.10,,7.33,,3.21,,2.06,,-7.56,,7.73,,2.19,,4.45,,-7.80,,9.10,,1.54,,3.86,,-6.45,,7.79,,1.84,,4.06,,-7.35,,7.18,,2.13,,4.34,,-9.29,,7.90,,1.80,,-0.50,,-12.18,,5.86,,1.60,,2.39,,-8.65,,8.48,,0.69,,3.33,,-8.67,,7.41,,-0.04,,2.77,,-9.04,,5.80,,-0.09,,2.81,,-10.19,,7.15,,1.57,,3.33,,-8.95,,7.53,,2.44,,1.76,,-6.21,,8.30,,1.71,,1.71,,-7.89,,9.13,,-0.64,,1.83,,-5.81,,,
Denmark,-4.24,,3.13,,-1.34,,6.32,,-6.46,,2.58,,-0.68,,5.12,,-6.51,,4.19,,-2.08,,4.61,,-5.19,,1.84,,-1.31,,6.81,,-5.26,,3.62,,-1.58,,5.87,,-6.74,,6.91,,-2.62,,4.98,,-4.36,,6.19,,-2.36,,4.12,,-5.20,,2.57,,-0.46,,5.12,,-6.12,,3.51,,-2.52,,1.49,,-6.63,,0.69,,-0.65,,3.82,,-4.57,,3.93,,0.22,,3.48,,-4.79,,3.58,,-2.19,,4.42,,-4.94,,2.63,,-0.96,,3.36,,-5.02,,4.29,,-1.19,,3.53,,-3.98,,2.46,,-0.27,,4.00,,-4.48,,3.93,,-1.67,,2.95,,-4.51,,4.92,,-1.20,,3.95,,-3.94,,3.29,
