BOS,DXB,2014-03-10,6	
BOS,DXB,2014-03-11,1	
BOS,DXB,2014-03-12,4	
BOS,DXB,2014-03-13,6	
BOS,DXB,2014-03-14,8	
BOS,DXB,2014-03-15,12	
BOS,DXB,2014-03-16,7	
BOS,DXB,2014-03-17,4	
BOS,DXB,2014-03-18,17	
BOS,DXB,2014-03-19,11	
BOS,DXB,2014-03-20,9	
BOS,DXB,2014-03-21,15	
BOS,DXB,2014-03-22,14	
BOS,DXB,2014-03-23,7	
BOS,DXB,2014-03-24,2	
BOS,DXB,2014-03-25,3	
BOS,DXB,2014-03-26,4	
BOS,DXB,2014-03-27,14	
BOS,DXB,2014-03-28,16	
BOS,DXB,2014-03-29,13	
BOS,DXB,2014-03-30,6	
BOS,DXB,2014-03-31,5	
BOS,DXB,2014-04-01,8	
BOS,DXB,2014-04-02,6	
BOS,DXB,2014-04-03,8	
BOS,DXB,2014-04-04,7	
BOS,DXB,2014-04-05,18	
BOS,DXB,2014-04-06,3	
BOS,DXB,2014-04-07,6	
BOS,DXB,2014-04-08,6	
BOS,DXB,2014-04-09,2	
BOS,DXB,2014-04-10,9	
BOS,DXB,2014-04-11,13	
BOS,DXB,2014-04-12,18	
BOS,DXB,2014-04-13,7	
BOS,DXB,2014-04-14,5	
BOS,DXB,2014-04-15,9	
BOS,DXB,2014-04-16,6	
BOS,DXB,2014-04-17,9	
BOS,DXB,2014-04-18,6	
BOS,DXB,2014-04-19,10	
BOS,DXB,2014-04-20,1	
BOS,DXB,2014-04-21,10	
BOS,DXB,2014-04-22,12	
BOS,DXB,2014-04-23,4	
BOS,DXB,2014-04-24,7	
BOS,DXB,2014-04-25,19	
BOS,DXB,2014-04-26,11	
BOS,DXB,2014-04-27,8	
BOS,DXB,2014-04-28,4	
BOS,DXB,2014-04-29,19	
BOS,DXB,2014-04-30,5	
BOS,DXB,2014-05-01,14	
BOS,DXB,2014-05-02,15	
BOS,DXB,2014-05-03,7	
BOS,DXB,2014-05-04,8	
BOS,DXB,2014-05-05,3	
BOS,DXB,2014-05-06,2	
BOS,DXB,2014-05-07,7	
BOS,DXB,2014-05-08,28	
BOS,DXB,2014-05-09,12	
BOS,DXB,2014-05-10,22	
BOS,DXB,2014-05-11,8	
BOS,DXB,2014-05-12,11	
BOS,DXB,2014-05-13,10	
BOS,DXB,2014-05-14,10	
BOS,DXB,2014-05-15,15	
BOS,DXB,2014-05-16,17	
BOS,DXB,2014-05-17,12	
BOS,DXB,2014-05-18,13	
BOS,DXB,2014-05-19,13	
BOS,DXB,2014-05-20,11	
BOS,DXB,2014-05-21,5	
BOS,DXB,2014-05-22,18	
BOS,DXB,2014-05-23,15	
BOS,DXB,2014-05-24,11	
BOS,DXB,2014-05-25,13	
BOS,DXB,2014-05-26,9	
BOS,DXB,2014-05-27,4	
BOS,DXB,2014-05-28,7	
BOS,DXB,2014-05-29,8	
BOS,DXB,2014-05-30,22	
BOS,DXB,2014-05-31,13	
BOS,DXB,2014-06-01,14	
BOS,DXB,2014-06-02,15	
BOS,DXB,2014-06-03,15	
BOS,DXB,2014-06-04,8	
BOS,DXB,2014-06-05,13	
BOS,DXB,2014-06-06,16	
BOS,DXB,2014-06-07,21	
BOS,DXB,2014-06-08,10	
BOS,DXB,2014-06-09,4	
BOS,DXB,2014-06-10,7	
BOS,DXB,2014-06-11,6	
BOS,DXB,2014-06-12,5	
BOS,DXB,2014-06-13,18	
BOS,DXB,2014-06-14,3	
BOS,DXB,2014-06-15,7	
BOS,DXB,2014-06-16,4	
BOS,DXB,2014-06-17,7	
BOS,DXB,2014-06-18,10	
BOS,DXB,2014-06-19,11	
BOS,DXB,2014-06-20,17	
BOS,DXB,2014-06-21,14	
BOS,DXB,2014-06-22,10	
BOS,DXB,2014-06-23,7	
BOS,DXB,2014-06-24,9	
BOS,DXB,2014-06-25,3	
BOS,DXB,2014-06-26,18	
BOS,DXB,2014-06-27,12	
BOS,DXB,2014-06-28,14	
BOS,DXB,2014-06-29,12	
BOS,DXB,2014-06-30,3	
