ORL:JED,999
NYC:DUR,13299
HOU:CPT,349
SEA:DXB,11945
WAS:DAR,12570
FLL:JKT,17707
WAS:HKT,14751
SEA:BKK,2316
WAS:JKT,16346
WAS:DAC,12897
SFO:THR,11855
DFW:DXB,12940
CHI:BOM,12971
SEA:HYD,12548
LAX:CCU,13125
BOS:SEZ,3254
NYC:BLR,13365
HOU:NBO,14092
SEA:KHI,11606
LAX:KWI,9658
NYC:PEW,533
NYC:PER,6922
SEA:MLE,14088
FLL:JNB,12983
NYC:MEL,6750
NYC:BGW,9643
WAS:COK,13882
SFO:DXB,13039
FLL:CCU,14480
LAX:DMM,13186
NYC:HKG,12987
BOS:NBO,6546
CHI:DEL,7315
ORL:AMD,12727
SEA:COK,13368
ORL:CAI,2058
NYC:HKT,14554
LAX:NBO,15576
BOS:KUL,7224
LAX:AMM,14761
HOU:DMM,12763
ORL:KUL,13915
WAS:DEL,6723
SFO:MED,12872
ORL:DMM,12001
BOS:JNB,8869
WAS:JNB,13052
BOS:ISB,5705
FLL:AMD,12778
WAS:BAH,12252
FLL:AMM,15423
FLL:KHI,14999
BOS:LUN,7713
CHI:THR,10481
HOU:LHE,13134
BOS:LHE,5952
DFW:SIN,8155
DFW:NBO,14092
DFW:KUL,13581
NYC:ACC,8234
HOU:THR,11963
NYC:KBL,12645
NYC:CRK,13652
SEA:MED,11826
HOU:MAA,8077
NYC:MRU,14953
NYC:ABJ,7933
NYC:NBO,11854
BOS:DXB,5113
DFW:CPT,68
NYC:DMM,10566
SFO:EBB,15118
NYC:TRV,13802
SFO:CCU,12596
BOS:CPT,8081
LAX:BEY,8960
WAS:KHI,13518
BOS:EBB,6220
CHI:MAA,6781
LAX:BLR,14516
WAS:CAI,3146
FLL:HYD,14691
FLL:BEY,7046
HOU:AMD,13666
NYC:KWI,11086
HOU:AMM,15544
HOU:KBL,14538
SEA:LUN,15567
DFW:LUN,14237
HOU:ISB,12883
LAX:DAR,13574
NYC:RGN,13550
LAX:DAC,12919
SEA:ACC,11873
SFO:KHI,12440
DFW:DMM,12560
BOS:BOM,6833
NYC:MIL,1670
SFO:DUR,17440
WAS:MLE,14326
LAX:MNL,11764
WAS:LUN,12385
BOS:DOH,1341
BOS:CEB,8332
FLL:HKG,14445
CHI:COK,14028
LAX:SEZ,12280
FLL:HKT,16234
DFW:EBB,13613
NYC:SIN,5962
SEA:JNB,16541
CHI:KWI,10460
SEA:EBB,14216
HOU:TRV,15706
HOU:SIN,8258
FLL:BJS,14954
SFO:RUH,12983
HOU:CAI,2987
ORL:MNL,14691
FLL:HRE,12963
CHI:LOS,8030
SEA:BSR,11300
NYC:RUH,10495
SEA:MAA,8346
HOU:MED,12322
CHI:LHE,11663
SFO:COK,14375
BOS:CAI,8365
LAX:ISB,12415
NYC:DAR,12307
LAX:BAH,13031
ORL:NBO,12836
WAS:BKK,2063
HOU:BGW,11835
CHI:MED,10939
WAS:EBB,11656
BOS:BLR,7667
BOS:HKG,9346
BOS:MAA,916
CHI:HYD,13302
SEA:DMM,11774
FLL:BLR,15054
SEA:TRV,13531
ORL:CPT,1607
